episode,reward,profit_dollars,num_trades,sharpe_ratio,win_rate,max_drawdown,loss,avg_loss,epsilon,oos_profit_dollars,oos_num_trades,oos_sharpe_ratio,oos_win_rate,oos_max_drawdown
136,0.006,-1177.28,5,-11.120,0.000,0.118,0.005,0.015,0.849,0.00,0.0,0.000,0.000,0.000
137,0.076,324.70,5,3.841,0.800,0.040,0.008,0.014,0.848,65.44,0.4,9.128,0.200,0.000
138,-0.003,-189.75,4,-8.326,0.500,0.022,0.013,0.014,0.847,-39.93,0.2,0.000,0.000,0.004
139,-0.018,93.80,3,3.094,0.667,0.018,0.015,0.014,0.845,-54.37,0.2,0.000,0.000,0.005
140,-0.022,164.82,5,3.017,0.600,0.015,0.012,0.014,0.844,0.00,0.0,0.000,0.000,0.000
141,-0.017,-0.27,3,-0.006,0.667,0.029,0.018,0.014,0.844,0.00,0.0,0.000,0.000,0.000
142,-0.002,-40.16,6,-0.609,0.500,0.040,0.008,0.014,0.843,0.00,0.0,0.000,0.000,0.000
143,0.020,-649.70,4,-13.606,0.250,0.065,0.012,0.014,0.842,0.00,0.0,0.000,0.000,0.000
144,-0.033,-160.05,4,-10.450,0.250,0.019,0.016,0.014,0.840,0.00,0.0,0.000,0.000,0.000
145,-0.155,-847.68,4,-3.857,0.500,0.137,0.008,0.014,0.839,0.00,0.0,0.000,0.000,0.000
146,-0.053,-446.71,4,-21.677,0.000,0.045,0.006,0.013,0.839,0.00,0.0,0.000,0.000,0.000
147,-0.059,-300.79,2,-14.990,0.500,0.031,0.013,0.013,0.838,0.00,0.0,0.000,0.000,0.000
148,0.001,-416.35,2,-40.904,0.000,0.042,0.007,0.013,0.837,0.00,0.0,0.000,0.000,0.000
149,0.017,319.19,5,7.015,0.600,0.014,0.009,0.012,0.835,0.00,0.0,0.000,0.000,0.000
150,-0.039,-581.94,5,-9.162,0.200,0.059,0.014,0.013,0.834,0.00,0.0,0.000,0.000,0.000
151,0.023,71.30,3,9.132,0.667,0.003,0.006,0.012,0.834,0.00,0.0,0.000,0.000,0.000
152,-0.050,44.39,5,0.911,0.800,0.027,0.010,0.012,0.833,-116.28,0.4,0.000,0.000,0.012
153,-0.111,-1303.89,4,-16.322,0.250,0.131,0.007,0.012,0.832,36.88,0.2,0.000,0.200,0.000
154,0.087,1313.47,2,19.243,1.000,0.000,0.011,0.012,0.830,10.56,0.4,0.274,0.100,0.006
155,-0.032,-77.62,4,-3.360,0.250,0.016,0.011,0.011,0.829,-29.67,0.2,0.000,0.000,0.003
156,0.022,-310.83,5,-28.075,0.200,0.031,0.012,0.011,0.829,21.34,0.2,0.000,0.200,0.000
157,-0.038,15.97,5,0.247,0.600,0.040,0.008,0.011,0.828,-38.01,0.6,0.000,0.200,0.006
158,0.011,-1124.77,4,-12.269,0.250,0.112,0.006,0.011,0.827,0.00,0.0,0.000,0.000,0.000
159,-0.026,462.57,3,21.161,1.000,0.000,0.011,0.010,0.825,0.00,0.0,0.000,0.000,0.000
160,0.030,98.51,4,6.607,0.500,0.004,0.005,0.010,0.824,67.10,0.2,0.000,0.200,0.000
161,0.088,477.25,4,6.672,0.500,0.029,0.009,0.010,0.824,48.67,0.2,0.000,0.200,0.000
162,-0.041,-189.95,6,-1.914,0.500,0.061,0.008,0.010,0.823,0.00,0.0,0.000,0.000,0.000
163,0.007,-468.96,7,-6.133,0.286,0.064,0.008,0.010,0.822,223.96,0.4,0.000,0.400,0.000
164,0.029,821.39,3,15.363,0.667,0.007,0.009,0.010,0.820,67.10,0.2,0.000,0.200,0.000
165,-0.015,-423.25,4,-7.482,0.250,0.053,0.004,0.009,0.819,0.00,0.0,0.000,0.000,0.000
166,-0.009,-204.63,5,-3.976,0.200,0.036,0.010,0.009,0.819,91.80,0.2,0.000,0.200,0.000
167,-0.093,-1057.92,5,-8.893,0.400,0.125,0.008,0.009,0.818,91.80,0.2,0.000,0.200,0.000
168,0.068,1417.49,4,26.155,1.000,0.000,0.011,0.009,0.817,0.00,0.0,0.000,0.000,0.000
169,0.023,-140.13,4,-7.114,0.250,0.022,0.006,0.009,0.815,137.81,0.2,0.000,0.200,0.000
170,0.012,289.62,5,8.549,0.800,0.014,0.008,0.009,0.815,0.00,0.0,0.000,0.000,0.000
171,-0.061,-202.93,4,-9.513,0.250,0.029,0.004,0.009,0.814,0.00,0.0,0.000,0.000,0.000
172,0.014,246.34,4,19.184,1.000,0.000,0.004,0.008,0.813,0.00,0.0,0.000,0.000,0.000
173,0.011,-197.31,3,-4.972,0.333,0.033,0.007,0.008,0.812,0.00,0.0,0.000,0.000,0.000
174,-0.086,-625.60,2,-11.463,0.500,0.074,0.006,0.008,0.810,123.93,0.4,0.000,0.400,0.000
175,-0.042,-153.18,7,-2.233,0.429,0.046,0.003,0.008,0.810,0.00,0.0,0.000,0.000,0.000
176,-0.106,-825.73,4,-10.156,0.250,0.083,0.009,0.008,0.809,106.25,0.2,0.000,0.200,0.000
177,-0.069,-1106.33,6,-7.511,0.333,0.118,0.011,0.008,0.808,0.00,0.0,0.000,0.000,0.000
178,-0.026,-109.71,2,-14.243,0.500,0.012,0.007,0.008,0.807,0.00,0.0,0.000,0.000,0.000
179,-0.004,-486.24,4,-3.992,0.500,0.085,0.007,0.008,0.806,0.00,0.0,0.000,0.000,0.000
180,0.037,483.11,5,10.350,0.800,0.011,0.009,0.008,0.805,0.00,0.0,0.000,0.000,0.000
181,0.004,52.65,4,2.641,0.500,0.013,0.008,0.007,0.804,0.00,0.0,0.000,0.000,0.000
182,-0.085,-1145.54,5,-10.779,0.200,0.115,0.007,0.007,0.803,0.00,0.0,0.000,0.000,0.000
183,-0.021,-342.40,6,-25.035,0.000,0.034,0.006,0.007,0.802,0.00,0.0,0.000,0.000,0.000
184,0.001,-286.11,4,-9.831,0.250,0.029,0.007,0.007,0.801,0.00,0.0,0.000,0.000,0.000
185,0.005,109.53,5,1.656,0.400,0.023,0.006,0.007,0.800,0.00,0.0,0.000,0.000,0.000
186,0.026,-99.45,3,-14.967,0.333,0.010,0.005,0.007,0.799,0.00,0.0,0.000,0.000,0.000
187,0.007,-415.40,3,-8.970,0.333,0.053,0.010,0.007,0.798,0.00,0.0,0.000,0.000,0.000
188,0.025,-733.53,5,-4.248,0.600,0.117,0.004,0.007,0.798,0.00,0.0,0.000,0.000,0.000
189,0.087,603.43,6,6.856,0.667,0.029,0.005,0.007,0.796,0.00,0.0,0.000,0.000,0.000
190,0.044,770.85,5,12.104,0.800,0.011,0.008,0.007,0.795,20.60,0.2,0.000,0.200,0.000
191,0.037,25.80,3,3.570,0.333,0.003,0.007,0.007,0.794,121.89,0.6,0.770,0.300,0.005
192,0.037,406.51,4,12.065,0.750,0.005,0.007,0.007,0.794,155.52,0.6,0.000,0.600,0.000
193,-0.029,-374.92,6,-23.295,0.000,0.037,0.012,0.007,0.793,8.41,0.6,5.747,0.200,0.009
194,0.042,455.83,5,10.630,0.800,0.013,0.010,0.007,0.791,0.00,0.0,0.000,0.000,0.000
195,-0.005,-162.16,3,-3.254,0.333,0.036,0.011,0.007,0.790,0.00,0.0,0.000,0.000,0.000
196,0.010,248.29,4,5.427,0.500,0.018,0.013,0.008,0.790,239.54,0.2,0.000,0.200,0.000
197,0.002,-38.36,2,-5.020,0.500,0.008,0.007,0.008,0.789,0.00,0.0,0.000,0.000,0.000
198,0.046,164.41,5,4.664,0.400,0.008,0.007,0.008,0.788,0.00,0.0,0.000,0.000,0.000
199,-0.003,-230.54,2,-10.861,0.500,0.028,0.007,0.008,0.787,0.00,0.0,0.000,0.000,0.000
200,-0.080,-1159.10,5,-13.519,0.000,0.116,0.006,0.008,0.786,428.29,0.4,0.000,0.400,0.000
201,-0.073,202.85,4,6.755,0.750,0.013,0.008,0.008,0.785,0.00,0.0,0.000,0.000,0.000
202,-0.023,9.72,4,0.204,0.750,0.029,0.003,0.007,0.784,145.92,0.2,0.000,0.200,0.000
203,0.080,513.66,2,17.508,1.000,0.000,0.004,0.007,0.783,0.00,0.0,0.000,0.000,0.000
204,0.017,-6.51,3,-0.130,0.667,0.035,0.005,0.007,0.782,0.00,0.0,0.000,0.000,0.000
205,-0.021,75.35,6,1.383,0.500,0.022,0.007,0.007,0.781,65.71,0.8,16.037,0.200,0.005
206,0.024,328.80,3,4.951,0.333,0.026,0.004,0.007,0.780,0.00,0.0,0.000,0.000,0.000
207,-0.032,-673.70,2,-16.793,0.000,0.067,0.007,0.007,0.779,0.00,0.0,0.000,0.000,0.000
208,0.037,425.00,4,3.776,0.750,0.046,0.005,0.007,0.779,0.00,0.0,0.000,0.000,0.000
209,0.031,-373.28,5,-27.254,0.000,0.037,0.003,0.007,0.777,0.00,0.0,0.000,0.000,0.000
210,0.108,994.94,4,9.276,0.750,0.026,0.010,0.007,0.776,0.00,0.0,0.000,0.000,0.000
211,-0.004,-67.47,3,-4.416,0.667,0.013,0.006,0.007,0.776,0.00,0.0,0.000,0.000,0.000
212,0.024,837.55,4,13.220,0.750,0.005,0.007,0.007,0.775,0.00,0.0,0.000,0.000,0.000
213,-0.149,-1296.50,5,-8.066,0.400,0.130,0.006,0.007,0.774,0.00,0.0,0.000,0.000,0.000
214,0.053,494.78,4,21.535,0.750,0.001,0.006,0.007,0.772,-19.50,0.2,0.000,0.000,0.002
215,0.037,252.93,6,3.946,0.500,0.018,0.009,0.007,0.772,91.80,0.2,0.000,0.200,0.000
216,0.145,611.91,2,12.680,0.500,0.008,0.010,0.007,0.771,-6.27,0.2,0.000,0.000,0.001
217,0.035,661.60,5,16.492,0.800,0.002,0.004,0.007,0.770,0.00,0.0,0.000,0.000,0.000
218,0.090,941.60,1,0.000,1.000,0.000,0.003,0.007,0.769,-80.47,0.2,0.000,0.000,0.008
219,0.005,-189.46,3,-5.037,0.333,0.024,0.004,0.006,0.768,0.00,0.0,0.000,0.000,0.000
220,-0.001,105.12,4,1.432,0.750,0.040,0.003,0.006,0.767,0.00,0.0,0.000,0.000,0.000
221,-0.024,-102.46,2,-118.507,0.000,0.010,0.005,0.006,0.766,0.00,0.0,0.000,0.000,0.000
222,0.009,4.71,1,0.000,1.000,0.000,0.004,0.006,0.766,0.00,0.0,0.000,0.000,0.000
223,-0.091,-645.12,3,-33.526,0.000,0.065,0.003,0.005,0.765,0.00,0.0,0.000,0.000,0.000
224,-0.036,-674.90,3,-20.940,0.000,0.067,0.007,0.006,0.763,0.00,0.0,0.000,0.000,0.000
225,0.013,305.14,4,22.155,1.000,0.000,0.005,0.005,0.763,0.00,0.0,0.000,0.000,0.000
226,0.068,434.16,6,6.877,0.500,0.024,0.006,0.005,0.762,0.00,0.0,0.000,0.000,0.000
227,-0.020,-671.66,8,-12.671,0.250,0.067,0.007,0.006,0.761,0.00,0.0,0.000,0.000,0.000
228,0.157,-1126.84,4,-24.529,0.250,0.114,0.008,0.006,0.760,80.48,0.4,4.476,0.200,0.000
229,0.157,1928.28,3,17.520,1.000,0.000,0.006,0.006,0.759,39.37,0.4,1.048,0.100,0.004
230,0.013,22.25,5,0.656,0.400,0.023,0.005,0.006,0.758,0.00,0.0,0.000,0.000,0.000
231,0.025,53.39,1,0.000,1.000,0.000,0.004,0.006,0.757,-79.77,0.4,0.000,0.000,0.008
