episode,reward,profit_dollars,num_trades,sharpe_ratio,win_rate,max_drawdown,loss,avg_loss,epsilon,oos_profit_dollars,oos_num_trades,oos_sharpe_ratio,oos_win_rate,oos_max_drawdown,target_achieved,profit_gap,quality_score
137,-0.0766,64.78,1,0.000,1.000,0.000,0.0037,0.0047,0.138,0.00,0,0.000,0.000,0.000,0,435.22,45.2
138,0.1650,306.49,4,7.150,0.500,0.006,0.0044,0.0047,0.125,0.00,1,0.000,0.000,0.000,0,193.51,72.0
139,-0.0076,-253.50,4,-5.328,0.250,0.031,0.0037,0.0046,0.136,951.95,4,16.463,0.750,0.009,0,753.50,1.0
140,-0.2003,-812.55,5,-11.396,0.200,0.091,0.0040,0.0046,0.124,0.00,1,0.000,0.000,0.000,0,1312.55,0.0
141,-0.0695,-56.83,6,-1.145,0.167,0.031,0.0034,0.0045,0.135,0.00,0,0.000,0.000,0.000,0,556.83,14.6
142,-0.0499,0.00,0,0.000,0.000,0.000,0.0038,0.0045,0.122,0.00,0,0.000,0.000,0.000,0,500.00,15.0
143,0.4088,1738.79,1,0.000,1.000,0.000,0.0049,0.0045,0.133,0.00,1,0.000,0.000,0.000,1,-1238.79,80.0
144,-0.1726,-289.94,2,-558.283,0.000,0.029,0.0040,0.0045,0.121,0.00,0,0.000,0.000,0.000,0,789.94,0.0
145,0.0229,-245.37,4,-5.576,0.750,0.036,0.0032,0.0044,0.132,1211.26,1,0.000,1.000,0.000,0,745.37,14.1
146,0.1952,494.07,7,5.964,0.571,0.027,0.0037,0.0044,0.120,0.00,1,0.000,0.000,0.000,0,5.93,88.8
147,-0.0871,-469.55,7,-2.852,0.286,0.069,0.0031,0.0042,0.131,-198.12,8,-1.895,0.375,0.037,0,969.55,0.0
148,0.1352,129.39,7,1.173,0.571,0.052,0.0029,0.0042,0.119,577.31,5,3.839,0.600,0.066,0,370.61,51.4
149,-0.1626,-628.27,7,-5.209,0.286,0.094,0.0032,0.0041,0.129,1039.12,5,8.055,0.600,0.028,0,1128.27,0.0
150,0.3129,502.59,3,10.964,0.667,0.003,0.0028,0.0040,0.117,0.00,0,0.000,0.000,0.000,1,-2.59,91.7
151,-0.3351,-1118.96,6,-13.601,0.167,0.112,0.0030,0.0039,0.128,675.89,3,5.756,0.333,0.038,0,1618.96,0.0
152,-0.5614,-2139.66,3,-9.510,0.667,0.233,0.0036,0.0039,0.116,0.00,1,0.000,0.000,0.000,0,2639.66,0.0
153,-0.2373,-351.77,2,-17.297,0.000,0.035,0.0032,0.0038,0.127,0.00,0,0.000,0.000,0.000,0,851.77,0.0
154,0.2988,604.55,4,10.465,0.500,0.009,0.0033,0.0037,0.138,2262.64,5,8.759,0.400,0.019,1,-104.55,87.5
155,0.1032,222.87,8,2.013,0.500,0.045,0.0022,0.0037,0.125,0.00,0,0.000,0.000,0.000,0,277.13,65.3
156,0.2098,308.80,4,6.583,0.500,0.015,0.0024,0.0035,0.136,0.00,1,0.000,0.000,0.000,0,191.20,72.2
157,0.0568,-93.86,5,-1.902,0.200,0.035,0.0026,0.0035,0.124,0.00,0,0.000,0.000,0.000,0,593.86,12.5
158,-0.1289,-505.34,7,-2.839,0.571,0.108,0.0025,0.0034,0.135,1678.94,2,36.125,1.000,0.000,0,1005.34,0.0
159,0.3768,1178.44,4,9.095,0.500,0.016,0.0026,0.0034,0.123,0.00,0,0.000,0.000,0.000,1,-678.44,87.5
160,-0.0046,-189.25,4,-19.730,0.250,0.020,0.0023,0.0033,0.134,2305.05,3,20.401,1.000,0.000,0,689.25,6.1
161,0.5815,1871.65,4,15.560,0.750,0.007,0.0022,0.0032,0.121,0.00,0,0.000,0.000,0.000,1,-1371.65,93.8
162,-0.0736,-864.61,4,-18.686,0.250,0.086,0.0027,0.0032,0.132,0.00,1,0.000,0.000,0.000,0,1364.61,0.0
163,-0.0816,-105.58,2,-16.670,0.000,0.011,0.0023,0.0031,0.120,0.00,0,0.000,0.000,0.000,0,605.58,6.6
164,-0.0594,-423.88,4,-4.382,0.750,0.076,0.0020,0.0030,0.131,1452.14,7,7.718,0.857,0.018,0,923.88,0.0
165,-0.4787,-880.71,2,-8.872,0.500,0.123,0.0028,0.0030,0.119,466.03,1,0.000,1.000,0.000,0,1380.71,0.0
166,-0.1399,-313.16,5,-6.519,0.400,0.040,0.0027,0.0030,0.130,1431.37,1,0.000,1.000,0.000,0,813.16,0.0
167,-0.3612,-1090.33,5,-8.351,0.400,0.133,0.0023,0.0029,0.118,1197.54,7,6.004,0.714,0.023,0,1590.33,0.0
168,-0.2960,-664.97,1,0.000,0.000,0.066,0.0022,0.0028,0.128,0.00,0,0.000,0.000,0.000,0,1164.97,0.0
169,0.1579,153.19,3,5.150,0.333,0.012,0.0025,0.0027,0.140,1268.98,3,7.330,0.333,0.038,0,346.81,55.6
170,0.4298,1131.08,3,22.715,1.000,0.000,0.0024,0.0027,0.127,24.07,2,0.326,0.500,0.054,1,-631.08,100.0
