episode,train_profit,oos_profit_fixed,oos_profit_median,oos_profit_mean,oos_win_rate,oos_consistency,train_trades,oos_trades,train_win_rate,train_sharpe,oos_sharpe,loss,epsilon
95,-208.88,-289.65,0.00,262.97,0.239,0.455,6,1.9,0.667,-3.460,2.023,0.003591,0.471
91,-629.07,2343.65,0.00,-148.15,0.182,0.091,9,0.9,0.667,-3.520,-0.401,0.000000,0.457
96,695.10,-289.65,0.00,262.97,0.239,0.455,6,1.9,0.667,10.270,2.023,0.000000,0.471
92,740.82,2343.65,0.00,-148.15,0.182,0.091,10,0.9,0.700,3.925,-0.401,0.004163,0.452
97,202.80,-289.65,0.00,141.54,0.165,0.455,3,2.4,0.333,5.477,1.756,0.003511,0.466
93,252.05,2343.65,0.00,-101.62,0.227,0.091,9,0.9,0.333,5.418,0.556,0.003856,0.448
98,129.28,-75.81,0.00,119.53,0.117,0.455,5,2.4,0.400,4.691,1.337,0.001656,0.461
94,-188.74,2343.65,0.00,-101.62,0.227,0.091,11,0.9,0.545,-1.565,0.556,0.000000,0.448
99,97.96,-75.81,0.00,119.53,0.117,0.455,7,2.4,0.571,0.621,1.337,0.000000,0.461
95,1031.57,2343.65,0.00,-101.62,0.227,0.091,7,0.9,0.714,6.911,0.556,0.004356,0.443
100,245.08,-75.81,0.00,118.32,0.117,0.455,7,2.4,0.571,3.458,1.329,0.003210,0.457
96,-1054.32,2343.65,0.00,-101.62,0.227,0.091,6,0.9,0.000,-13.192,0.556,0.000000,0.443
101,-340.47,-75.81,0.00,118.32,0.117,0.455,6,2.4,0.333,-8.821,1.329,0.000000,0.457
97,20.10,2343.65,0.00,-135.70,0.227,0.091,11,0.9,0.545,0.342,0.275,0.002745,0.439
102,617.91,-75.81,0.00,99.16,0.135,0.455,6,2.0,0.667,5.975,1.241,0.002948,0.452
98,218.17,2343.65,0.00,-132.49,0.227,0.091,11,0.9,0.545,2.501,0.312,0.003900,0.434
103,-260.08,-1062.83,0.00,156.38,0.270,0.455,7,2.2,0.571,-3.846,-1.893,0.002351,0.500
99,-369.18,2343.65,0.00,-132.49,0.227,0.091,12,0.9,0.583,-1.852,0.312,0.000000,0.434
104,1346.29,-1062.83,0.00,156.38,0.270,0.455,6,2.2,0.833,4.993,-1.893,0.000000,0.500
100,668.63,2343.65,0.00,-135.70,0.227,0.091,8,0.9,0.375,6.110,0.275,0.003734,0.430
105,225.54,-1062.83,0.00,193.43,0.203,0.455,8,2.6,0.625,1.063,-3.008,0.001897,0.495
101,-153.67,2343.65,0.00,-135.70,0.227,0.091,8,0.9,0.625,-0.791,0.275,0.000000,0.430
106,-341.76,-1062.83,0.00,193.43,0.203,0.455,7,2.6,0.429,-3.580,-3.008,0.000000,0.495
102,1725.48,2343.65,0.00,-128.71,0.227,0.091,11,0.9,0.818,7.857,0.367,0.003108,0.426
107,-592.71,-1062.83,0.00,294.51,0.282,0.455,6,2.6,0.333,-9.533,-2.214,0.002421,0.490
103,53.66,2343.65,0.00,-125.50,0.227,0.091,11,0.9,0.455,0.422,0.405,0.003557,0.421
